"feature","phi"
"pH",3.24794036833923
"DOC",-2.65287127821788
"PH_PM",-1.26099720529771
"FTF4",1.07832561651052
"POND_SIZE_Ha",-0.975280745636697
"Stocking_Density",0.801371182069421
"FTF1",-0.664282336645959
"Daily__feed",-0.631529967186071
"PL__SIZE",-0.593912468274252
"FTF3",0.507119848088109
"Temp_PM",0.463274559855298
"Farm_ID.F006",0.340105846937582
"FCR",0.326461099143163
"Farm_ID.F009",-0.269689852842678
"Variant.SYAqua",-0.248341960793145
"Cycle_ID.C006",0.1992291579452
"Cum_Feed",-0.185317617003058
"Salinity",-0.14368737960997
"Farm_ID.F007",0.121963653632771
"Cycle_ID.C004",-0.109203478077165
"Farm_ID.F002",0.108594321798583
"Temp",0.0945901137076072
"Ammonia",-0.0919687066641067
"Pond_Type.LP",0.0798104243401616
"Pond_Type.LP.DIATOM.BASED.",0.075657454146152
"FTF2",-0.0720997215853086
"Pond_Type.BFT",0.0530280277731294
"Farm_ID.F008",0.0519435506316518
"Cycle_ID.C005",0.0489196349420309
"Farm_ID.F010",0.0451081617502248
"Cycle_ID.C002",0.0432015727593013
"Farm_ID.F005",0.041130401060993
"Farm_ID.F004",-0.0306176541383632
"Farm_ID.F003",-0.027803768033838
"Variant.SIS.HARDY.LINE",-0.0178716548452275
"Variant.SIS.GROWTH.LINE",-0.00470800590574694
"DO",7.97845885109894e-06
"Cycle_ID.C003",0
"Alkalinity",0
"Nitrate",0
