"feature","model","abs(phi)"
"pH","BPNN",2.53229334384239
"DOC","BPNN",2.16195909040501
"PH_PM","BPNN",1.56417605777446
"Stocking_Density","BPNN",1.0535812953162
"FTF1","BPNN",1.01696237039681
"POND_SIZE_Ha","BPNN",0.839815719899819
"FTF4","BPNN",0.769683591594963
"FTF3","BPNN",0.767166305897826
"FCR","BPNN",0.638782692003824
"PL__SIZE","BPNN",0.629443590831165
"Daily__feed","BPNN",0.617028574832363
"FTF2","BPNN",0.572497747285465
"Temp","BPNN",0.565906504156891
"Salinity","BPNN",0.381133313138379
"DOC","RF",2.35663579823962
"Cum_Feed","RF",0.850862194956841
"Daily__feed","RF",0.561456193052901
"FTF2","RF",0.365554472188723
"FTF1","RF",0.315552165988804
"FTF4","RF",0.289621666717337
"FTF3","RF",0.207503336105416
"Farm_ID.F003","RF",0.115254344998244
"pH","RF",0.109596596816529
"Pond_Type.BFT","RF",0.102754365897374
"Temp_PM","RF",0.0670707450818504
"PH_PM","RF",0.065399145897516
"Stocking_Density","RF",0.0334767205646267
"Variant.SIS.GROWTH.LINE","RF",0.0332358183563487
"DOC","XGBoost",1.92381993709877
"Cum_Feed","XGBoost",0.402706058751792
"FTF1","XGBoost",0.398619978527228
"FTF3","XGBoost",0.342121678669006
"Daily__feed","XGBoost",0.247486901983619
"FTF2","XGBoost",0.216651586964726
"Stocking_Density","XGBoost",0.171100447773933
"FTF4","XGBoost",0.155788683146238
"PH_PM","XGBoost",0.13126444671303
"Temp","XGBoost",0.113310952186584
"Farm_ID.F003","XGBoost",0.0861644422411919
"FCR","XGBoost",0.0652353405952454
"Pond_Type.BFT","XGBoost",0.0531463432312012
"Alkalinity","XGBoost",0.0373003196716309
