"feature","phi"
"DOC",-7.90114908036914
"Cum_Feed",-1.34591606442038
"FTF2",-0.999211010941348
"FTF1",-0.755098381456246
"FTF3",-0.156793076521676
"Daily__feed",0.110492218899388
"FTF4",0.106779449350296
"PH_PM",-0.0741540542389876
"FCR",-0.046478138247391
"PL__SIZE",-0.0320203197216961
"pH",0.0312424688223987
"Stocking_Density",-0.0272939507875764
"Pond_Type.LP",-0.0257478828181444
"Farm_ID.F009",-0.0222157079158188
"Farm_ID.F003",-0.0186866971916973
"Farm_ID.F007",-0.0178511133333333
"Temp",0.0156944976831133
"Salinity",0.013759663434745
"Variant.SYAqua",-0.00950288046251985
"Cycle_ID.C002",-0.00805045766804769
"POND_SIZE_Ha",0.00775878677273757
"Cycle_ID.C003",-0.00754987404173389
"Variant.SIS.HARDY.LINE",-0.0074813789136042
"Variant.SIS.GROWTH.LINE",-0.00636048610256412
"Cycle_ID.C005",0.00510883000000005
"Temp_PM",0.00408616666666662
"Farm_ID.F008",0.00380320219780224
"Farm_ID.F002",0.00311681364102563
"Alkalinity",0.00282209266666679
"Nitrate",-0.00261574738095245
"Pond_Type.BFT",-0.00213949713126111
"Ammonia",-0.00211204303030305
"Farm_ID.F004",-0.00143121941391944
"Pond_Type.LP.DIATOM.BASED.",0.00135299739882513
"DO",-0.00116014999999997
"Farm_ID.F010",0.000690334410256361
"Cycle_ID.C006",0.000450799999999999
"Farm_ID.F005",-0.000448558436037653
"Farm_ID.F006",0.000214799999999986
"Cycle_ID.C004",-0.00020699666666669
"Nitrite",0
