"feature","phi"
"DOC",-0.398770577907562
"FTF3",0.308330426216125
"Daily__feed",0.257144119739532
"Cum_Feed",-0.205797834396362
"FTF4",0.182277045249939
"Temp",-0.104146978855133
"Farm_ID.F003",0.0796455669403076
"FCR",0.0687318563461304
"PH_PM",-0.0656851959228516
"FTF1",0.0593161737918854
"pH",-0.0343096852302551
"Stocking_Density",-0.0325911539793015
"FTF2",0.0306508141756058
"Pond_Type.BFT",0.0294238471984863
"PL__SIZE",-0.0168716907501221
"Pond_Type.LP",-0.0163376331329346
"POND_SIZE_Ha",0.0161372208595276
"DO",-0.0145996761322021
"Temp_PM",0.0113901776075363
"Farm_ID.F008",0.0097280216217041
"Variant.SIS.HARDY.LINE",0.00733670234680176
"Salinity",0.00668559074401856
"Farm_ID.F002",0.00354843139648438
"Nitrate",0.00334305763244629
"Cycle_ID.C002",-0.00330712854862213
"Farm_ID.F009",-0.0029387092590332
"Farm_ID.F004",-0.00167473793029785
"Alkalinity",0.0013154411315918
"Ammonia",0.000886631011962891
"Variant.SIS.GROWTH.LINE",0.000748605728149414
"Variant.SYAqua",0.000573387145996094
"Cycle_ID.C003",0.00035761833190918
"Farm_ID.F005",0
"Farm_ID.F006",0
"Farm_ID.F007",0
"Farm_ID.F010",0
"Cycle_ID.C004",0
"Cycle_ID.C005",0
"Cycle_ID.C006",0
"Pond_Type.LP.DIATOM.BASED.",0
"Nitrite",0
